link,type,file,year,month,total_principal_funds
sf.citidirect.com/stfin/docs/738010/CertStmtCMLT06AMC12401.pdf,chs,CertStmtCMLT06AMC12401.pdf,24,01,499370.38
sf.citidirect.com/stfin/docs/634288/CertStmtCMLT06AMC12301.pdf,chs,CertStmtCMLT06AMC12301.pdf,23,01,819684.62
sf.citidirect.com/stfin/docs/640629/CertStmtCMLT06AMC12302.pdf,chs,CertStmtCMLT06AMC12302.pdf,23,02,634770.1
sf.citidirect.com/stfin/docs/646432/CertStmtCMLT06AMC12303.pdf,chs,CertStmtCMLT06AMC12303.pdf,23,03,572247.88
sf.citidirect.com/stfin/docs/656708/CertStmtCMLT06AMC12304.pdf,chs,CertStmtCMLT06AMC12304.pdf,23,04,287699.89
sf.citidirect.com/stfin/docs/665442/CertStmtCMLT06AMC12305.pdf,chs,CertStmtCMLT06AMC12305.pdf,23,05,771096.19
sf.citidirect.com/stfin/docs/674061/CertStmtCMLT06AMC12306.pdf,chs,CertStmtCMLT06AMC12306.pdf,23,06,814158.81
sf.citidirect.com/stfin/docs/684252/CertStmtCMLT06AMC12307.pdf,chs,CertStmtCMLT06AMC12307.pdf,23,07,896542.4
sf.citidirect.com/stfin/docs/692354/CertStmtCMLT06AMC12308.pdf,chs,CertStmtCMLT06AMC12308.pdf,23,08,303314.26
sf.citidirect.com/stfin/docs/703452/CertStmtCMLT06AMC12309.pdf,chs,CertStmtCMLT06AMC12309.pdf,23,09,1072051.46
sf.citidirect.com/stfin/docs/710480/CertStmtCMLT06AMC12310.pdf,chs,CertStmtCMLT06AMC12310.pdf,23,10,324734.25
sf.citidirect.com/stfin/docs/721289/CertStmtCMLT06AMC12311.pdf,chs,CertStmtCMLT06AMC12311.pdf,23,11,426092.56
sf.citidirect.com/stfin/docs/728892/CertStmtCMLT06AMC12312.pdf,chs,CertStmtCMLT06AMC12312.pdf,23,12,247486.36
sf.citidirect.com/stfin/docs/534492/CertStmtCMLT06AMC12201.pdf,chs,CertStmtCMLT06AMC12201.pdf,22,01,1092042.29
sf.citidirect.com/stfin/docs/541492/CertStmtCMLT06AMC12202.pdf,chs,CertStmtCMLT06AMC12202.pdf,22,02,899143.9
sf.citidirect.com/stfin/docs/549483/CertStmtCMLT06AMC12203.pdf,chs,CertStmtCMLT06AMC12203.pdf,22,03,1340728.15
sf.citidirect.com/stfin/docs/556284/CertStmtCMLT06AMC12204.pdf,chs,CertStmtCMLT06AMC12204.pdf,22,04,1868125.81
sf.citidirect.com/stfin/docs/566255/CertStmtCMLT06AMC12205.pdf,chs,CertStmtCMLT06AMC12205.pdf,22,05,1137089.86
sf.citidirect.com/stfin/docs/574571/CertStmtCMLT06AMC12206.pdf,chs,CertStmtCMLT06AMC12206.pdf,22,06,771378.48
sf.citidirect.com/stfin/docs/580290/CertStmtCMLT06AMC12207.pdf,chs,CertStmtCMLT06AMC12207.pdf,22,07,1064238.96
sf.citidirect.com/stfin/docs/588246/CertStmtCMLT06AMC12208.pdf,chs,CertStmtCMLT06AMC12208.pdf,22,08,1637590.67
sf.citidirect.com/stfin/docs/597585/CertStmtCMLT06AMC12209.pdf,chs,CertStmtCMLT06AMC12209.pdf,22,09,1200462.77
sf.citidirect.com/stfin/docs/605112/CertStmtCMLT06AMC12210.pdf,chs,CertStmtCMLT06AMC12210.pdf,22,10,887215.49
sf.citidirect.com/stfin/docs/613125/CertStmtCMLT06AMC12211.pdf,chs,CertStmtCMLT06AMC12211.pdf,22,11,292203.35
